Fri Jan 20 16:34:04 2023    profiling/profile.dat

         5924224 function calls (5841639 primitive calls) in 26.705 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      597    0.001    0.000    0.005    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/zipfile.py:738(read)
      597    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/zipfile.py:1527(<lambda>)
      480    0.000    0.000    0.000    0.000 {method 'data_ptr' of 'torch._C.StorageBase' objects}
      460    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
      291    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      282    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x100a72920}
      240    0.000    0.000    0.000    0.000 {method 'nbytes' of 'torch._C.StorageBase' objects}
      240    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/storage.py:317(__new__)
      240    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/storage.py:384(__init__)
      150    0.000    0.000    0.000    0.000 {method 'values' of 'collections.OrderedDict' objects}
      150    0.000    0.000    0.001    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/nn/modules/module.py:1341(_save_to_state_dict)
   150/30    0.001    0.000    0.002    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/nn/modules/module.py:1378(state_dict)
      131    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      128    0.000    0.000    0.000    0.000 {method 'size' of 'torch._C._TensorBase' objects}
      122    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/Documents/GitHub/dtu_mlops_s2_cookiecutter/src/models/train_model.py:38(__len__)
      120    0.000    0.000    0.000    0.000 {method 'data_ptr' of 'torch._C._TensorBase' objects}
      120    0.000    0.000    0.000    0.000 {method 'has_names' of 'torch._C._TensorBase' objects}
      120    0.000    0.000    0.000    0.000 {method '_storage' of 'torch._C._TensorBase' objects}
      120    0.000    0.000    0.000    0.000 {method 'storage_offset' of 'torch._C._TensorBase' objects}
      120    0.000    0.000    0.000    0.000 {method 'stride' of 'torch._C._TensorBase' objects}
      120    0.000    0.000    0.000    0.000 {method 'detach' of 'torch._C._TensorBase' objects}
      120    0.000    0.000    0.000    0.000 {built-in method torch._C._has_storage}
