Fri Jan 20 16:34:04 2023    profiling/profile.dat

         5924224 function calls (5841639 primitive calls) in 26.705 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/numpy/lib/npyio.py:72(__init__)
        1    0.000    0.000    0.001    0.001 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/numpy/lib/npyio.py:91(zipfile_factory)
        1    0.000    0.000    0.001    0.001 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/numpy/lib/npyio.py:182(__init__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/numpy/lib/npyio.py:209(close)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/numpy/lib/npyio.py:222(__del__)
        1    0.000    0.000    0.002    0.002 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/numpy/lib/npyio.py:263(load)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/storage.py:247(_dtype_to_storage_type_map)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/typing_extensions.py:1814(_is_unpack)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:664(_load_unlocked)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1022(_find_and_load)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:877(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:950(get_code)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/codecs.py:94(__new__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/encodings/__init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/codecs.py:1071(<dictcomp>)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/codecs.py:1063(make_identity_dict)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/os.py:1080(__subclasshook__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/_collections_abc.py:78(_check_methods)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/posixpath.py:140(basename)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/_distutils_hack/__init__.py:89(find_spec)
        1    0.000    0.000    0.271    0.271 /Users/alejandranavarrocastillo/Documents/GitHub/dtu_mlops_s2_cookiecutter/src/models/train_model.py:31(__init__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/contextlib.py:442(_create_exit_wrapper)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/contextlib.py:455(pop_all)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/contextlib.py:482(enter_context)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/contextlib.py:509(_push_cm_exit)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/contextlib.py:514(_push_exit_callback)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/contextlib.py:530(__enter__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/contextlib.py:582(close)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/Documents/GitHub/dtu_mlops_s2_cookiecutter/src/models/train_model.py:29(NpzDataset)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/functools.py:35(update_wrapper)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/functools.py:65(wraps)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/click/core.py:115(iter_params_for_processing)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/typing.py:380(__repr__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/typing.py:483(Union)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/typing.py:523(Optional)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/typing.py:1147(copy_with)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/typing.py:1223(__getitem__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/typing.py:1350(__init_subclass__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/click/_unicodefun.py:6(_verify_python_env)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/click/types.py:584(convert)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/click/types.py:816(coerce_path_result)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/click/types.py:827(convert)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/threading.py:90(RLock)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/click/utils.py:495(_detect_program_name)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/click/exceptions.py:286(__init__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/click/parser.py:49(_unpack_args)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/click/parser.py:118(normalize_opt)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/click/parser.py:160(__init__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/click/parser.py:214(__init__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/click/parser.py:219(process)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/click/parser.py:246(__init__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/click/parser.py:267(__init__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/click/parser.py:308(<listcomp>)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/click/parser.py:291(add_option)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/click/parser.py:316(add_argument)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/click/parser.py:326(parse_args)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/click/parser.py:346(<listcomp>)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/click/parser.py:344(_process_args_for_args)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/click/parser.py:355(_process_args_for_options)
        1    0.000    0.000    0.002    0.002 /Users/alejandranavarrocastillo/Documents/GitHub/dtu_mlops_s2_cookiecutter/src/models/model.py:6(__init__)
        1    0.000    0.000   26.705   26.705 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/nn/modules/module.py:336(register_buffer)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/nn/modules/loss.py:20(__init__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/nn/modules/loss.py:29(__init__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/nn/modules/loss.py:210(__init__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/nn/modules/activation.py:1380(__init__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/optim/optimizer.py:45(__init__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/optim/optimizer.py:133(profile_hook_step)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/optim/optimizer.py:130(_hook_for_profile)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/optim/optimizer.py:300(add_param_group)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/optim/sgd.py:93(__init__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/zipfile.py:214(_EndRecData64)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/zipfile.py:257(_EndRecData)
        1    0.000    0.000    0.001    0.001 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/zipfile.py:1216(__init__)
        1    0.000    0.000    0.001    0.001 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/zipfile.py:1326(_RealGetContents)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/zipfile.py:1408(<listcomp>)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/zipfile.py:1406(namelist)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/zipfile.py:1817(__del__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/locale.py:657(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/sampler.py:95(__init__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/sampler.py:226(__init__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/dataloader.py:221(__init__)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/dataloader.py:387(multiprocessing_context)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/dataloader.py:482(check_worker_number_rationality)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/encodings/cp437.py:9(Codec)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/encodings/cp437.py:17(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/encodings/cp437.py:21(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/encodings/cp437.py:25(StreamWriter)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/encodings/cp437.py:28(StreamReader)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/encodings/cp437.py:33(getregentry)
        1    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/encodings/cp437.py:1(<module>)


